parameterId	parameterScale	lowerBound	upperBound	estimate
yy_countryA_vac1_0	lin	1e-08	0.99999999	1
yy_countryA_vac1_1	lin	1e-08	0.99999999	1
yy_countryA_vac1_2	lin	1e-08	0.99999999	1
yy_countryA_vac1_3	lin	1e-08	0.99999999	1
yy_countryA_vac1_4	lin	1e-08	0.99999999	1
yy_countryA_vac1_5	lin	1e-08	0.99999999	1
yy_countryA_vac1_6	lin	1e-08	0.99999999	1
yy_countryA_vac1_7	lin	1e-08	0.99999999	1
yy_countryA_vac1_8	lin	1e-08	0.99999999	1
yy_countryA_vac1_9	lin	1e-08	0.99999999	1
yy_countryA_vac1_10	lin	1e-08	0.99999999	1
yy_countryA_vac2_0	lin	1e-08	0.99999999	1
yy_countryA_vac2_1	lin	1e-08	0.99999999	1
yy_countryA_vac2_2	lin	1e-08	0.99999999	1
yy_countryA_vac2_3	lin	1e-08	0.99999999	1
yy_countryA_vac2_4	lin	1e-08	0.99999999	1
yy_countryA_vac2_5	lin	1e-08	0.99999999	1
yy_countryA_vac2_6	lin	1e-08	0.99999999	1
yy_countryA_vac2_7	lin	1e-08	0.99999999	1
yy_countryA_vac2_8	lin	1e-08	0.99999999	1
yy_countryA_vac2_9	lin	1e-08	0.99999999	1
yy_countryA_vac2_10	lin	1e-08	0.99999999	1
